TOPIC: 
giống:	0.007397959201376207
facebook:	0.007178625467428707
nói_chuyện:	0.007524392420360005
trưa:	0.009672967855976107
trả_lời:	0.008831827684911572
cô_gái:	0.00727992662667851
xoi_mói:	0.011152570703122491
quan_tâm:	0.008002266553211016
miền:	0.007612665134282744
con_gái:	0.007517847720920633
TOPIC: 
kiểm_tra:	0.007196951055669256
người_ta:	0.00978654783794442
tình_yêu:	0.009527857054773959
giống:	0.009319829887836625
chia_tay:	0.01321892350603946
suy_nghĩ:	0.007913118840101709
thích:	0.020943862362178597
tiền:	0.016772096940724658
hạnh_phúc:	0.007358455122210101
khóc:	0.011065276128489043
